,roomId,accommodationId,name,checkIn,checkOut,defaultPeople,maxPeople
0,1,1,랜덤객실,23.0,12,2,2
1,2,1,로이,23.0,12,2,2
2,3,1,샴페인골드,23.0,12,2,2
3,4,1,미스트,23.0,12,2,2
4,5,1,에메랄드,23.0,12,2,2
5,6,1,아쿠아,23.0,12,2,2
6,7,1,다이아골드,23.0,12,2,2
7,8,1,비앙코,23.0,12,2,2
8,9,1,브론즈글라스,23.0,12,2,2
9,10,1,골드글라스,23.0,12,2,2
10,11,2,SPECIAL(전차종 주차가능/넷플릭스-본인계정/...,21.0,12,2,2
11,12,2,PREMIUM(심야대실- 전차종 주차가능/넷플릭스...,21.0,12,2,2
12,13,2,STANDARD(주차불가/넷플릭스-본인계정/조식무...,21.0,12,2,2
13,14,2,STANDARD(전차종 주차가능/넷플릭스-본인계정...,21.0,12,2,2
14,15,2,STANDARD(주차불가/넷플릭스-본인계정/조식무...,21.0,12,2,2
15,16,2,DELUXE(전차종 주차가능/넷플릭스-본인계정/...,21.0,12,2,2
16,17,2,PREMIUM(전차종 주차가능/넷플릭스-본인계정/...,21.0,12,2,2
17,18,2,PREMIUM+EVENT(전차종 주차가능/넷플릭스-본...,21.0,12,2,2
18,19,3,스페셜(랜덤배정),21.0,12,2,2
19,20,3,스탠다드 (페이백),21.0,12,2,2
20,21,3,스탠다드,21.0,12,2,2
21,22,3,슈페리얼,21.0,12,2,2
22,23,3,스탠다드(도보전용/주차불가),21.0,12,2,2
23,24,3,디럭스,21.0,12,2,2
24,25,3,스위트,21.0,12,2,2
25,26,3,로얄스위트,21.0,12,2,2
26,27,4,Standard (페이백),22.0,12,2,2
27,28,4,Late Standard(객실 랜덤배정),22.0,12,2,2
28,29,4,Standard(객실 랜덤배정),22.0,12,2,2
29,30,4,"Standard(5회 이용시 1회 무료)토,일 공휴일 ...",22.0,12,2,2
30,31,4,"Deluxe(75Inch SMART TV, 넷플릭스프리존, 랜...",22.0,12,2,2
31,32,4,Suite (객실랜덤 배정),22.0,12,2,2
32,33,5,슈페리어 - 주차불가(금연객실),21.0,12,2,2
33,34,5,슈페리어(금연객실),21.0,12,2,2
34,35,5,디럭스A - 주차불가(금연객실),21.0,12,2,2
35,36,5,디럭스B - 주차불가(금연객실),21.0,12,2,2
36,37,5,디럭스 A(금연객실),21.0,12,2,2
37,38,5,디럭스 B(금연객실),21.0,12,2,2
38,39,5,스위트,21.0,12,2,2
39,40,5,VIP,21.0,12,2,2
40,41,6,"디럭스(주차불가차량suv,박스카,튜닝카,럭셔...",22.0,12,2,2
41,42,6,"디럭스 주차불가 (도보전용,넷플릭스 시청가능)",22.0,12,2,2
42,43,6,"디럭스(주차불가차량suv,박스카,튜닝카,럭셔...",22.0,12,2,2
43,44,6,프리미엄 (넷플릭스 시청가능),22.0,12,2,2
44,45,6,"스위트 주차불가(도보전용,,넷플릭스 시청가능)",22.0,12,2,2
45,46,6,스위트 (넷플릭스 시청가능),22.0,12,2,2
46,47,6,로얄 스위트 ((넷플릭스 시청가능),22.0,12,2,2
47,48,7,디럭스(주차불가),21.0,12,2,2
48,49,7,디럭스,21.0,12,2,2
49,50,7,프리미엄,21.0,12,2,2
50,51,7,스위트,21.0,12,2,2
51,52,7,로얄스위트,21.0,12,2,2
52,53,8,DELUXE,22.0,12,2,2
53,54,8,SUITE,22.0,12,2,2
54,55,8,SUITE TWIN,22.0,12,2,2
55,56,8,PREMIUM,22.0,12,2,2
56,57,9,"Superior Twin(넷플릭스 시청가능,본인계정으...",15.0,12,2,2
57,58,9,"Deluxe Family Twin (넷플릭스 시청가능,본인...",15.0,12,2,2
58,59,9,"Deluxe Double(넷플릭스 시청가능,본인계정으...",15.0,12,2,2
59,60,9,"Designers Suite(넷플릭스 시청가능,본인계정...",15.0,12,2,2
60,61,9,"LYJ Suite(넷플릭스 시청가능,본인계정으로만...",15.0,12,2,2
61,62,10,일반실,20.0,12,2,2
62,63,10,준특실,20.0,12,2,2
63,64,10,안마의자 릴렉스 객실,20.0,12,2,2
64,65,10,투룸 VIP 특실,20.0,12,2,2
65,66,11,디럭스룸 얼리체크인10시(2인기준),17.0,12,2,2
66,67,11,파크 디럭스(2인 기준),17.0,12,2,2
67,68,11,클래식 더블(2인 기준),17.0,12,2,2
68,69,11,스파 디럭스(2인 기준),17.0,12,2,2
69,70,11,디럭스룸 24시패키지(2인기준),17.0,12,2,2
70,71,11,스파 디럭스(648호텔 패키지24시간 사용),17.0,12,2,2
71,72,11,스파 더블 디럭스(2인 기준),17.0,12,2,2
72,73,11,더블 디럭스 (랜덤배정),17.0,12,2,2
73,74,11,펜트하우스 (4인까지가능-혼숙불가),17.0,12,2,2
74,75,11,펜트하우스648(4인까지가능),17.0,12,2,2
75,76,12,로얄스위트룸 (수영장 / 빔프로젝터/건식사우...,22.0,12,2,2
76,77,12,로얄스위트룸  (복층 /포켓볼/빔 프로젝터)/4...,22.0,12,2,2
77,78,12,스위트룸(단층 / 빔 프로젝터)/4인기준,22.0,12,2,2
78,79,12,스탠다드B,22.0,12,2,2
79,80,12,디럭스B,22.0,12,2,2
80,81,12,프리미엄B,22.0,12,2,2
81,82,12,스탠다드 A,22.0,12,2,2
82,83,12,디럭스 A,22.0,12,2,2
83,84,12,프리미엄A,22.0,12,2,2
84,85,13,"슈페리얼(도보특가,각종OTT무료)",21.0,12,2,2
85,86,13,"슈페리얼(랜덤배정,각종OTT무료)",21.0,12,2,2
86,87,13,"프리미엄A(스타일러,욕조,각종 OTT무료)",21.0,12,2,2
87,88,13,"프리미엄B(욕조,각종OTT무료)",21.0,12,2,2
88,89,13,"스위트B(쇼파베드,스타일러)",21.0,12,2,2
89,90,13,"스위트A(안마의자,two베드,스타일러)",21.0,12,2,2
90,91,13,"루프탑 패키지(이용은 숙소로 문의/넷플릭스,...",21.0,12,2,2
91,92,14,스탠다드(주차불가),23.0,12,2,2
92,93,14,"스탠다드(넷플릭스,랜덤배정)",23.0,12,2,2
93,94,14,"도보전용(디럭스,넷플릭스, 랜덤배정)",23.0,12,2,2
94,95,14,"색시룸(넷플릭스,랜덤배정)",23.0,12,2,2
95,96,14,"디럭스(넷플릭스,랜덤배정)",23.0,12,2,2
96,97,14,디럭스 2PC,23.0,12,2,2
97,98,14,"스위트(넷플릭스,랜덤배정)",23.0,12,2,2
98,99,14,"오늘의특가(주차불가,객실 랜덤 배정)",23.0,12,2,2
99,100,14,"스위트 패밀리 트윈(넷플릭스, 랜덤배정)",23.0,12,2,2
100,101,14,"스위트 스파(넷플릭스,랜덤배정)",23.0,12,2,2
101,102,14,아드리게 노천탕,23.0,12,2,2
