,id,accommodationId,convenience
0,1,95,피트니스
1,2,95,레스토랑
2,3,95,와이파이
3,4,95,욕실용품
4,5,95,엘레베이터
5,6,95,금연
6,7,95,카페
7,8,95,주차장
8,9,95,TV
9,10,95,에어컨
10,11,95,냉장고
11,12,95,드라이기
12,13,95,카드결제
13,14,96,피트니스
14,15,96,레스토랑
15,16,96,와이파이
16,17,96,욕실용품
17,18,96,발렛파킹
18,19,96,엘레베이터
19,20,96,짐보관가능
20,21,96,금연
21,22,96,카페
22,23,96,세탁기
23,24,96,건조기
24,25,96,주차장
25,26,96,TV
26,27,96,에어컨
27,28,96,냉장고
28,29,96,객실샤워실
29,30,96,드라이기
30,31,96,카드결제
31,32,97,레스토랑
32,33,97,와이파이
33,34,97,욕실용품
34,35,97,금연
35,36,97,카페
36,37,97,세탁기
37,38,97,건조기
38,39,97,TV
39,40,97,에어컨
40,41,97,냉장고
41,42,97,객실샤워실
42,43,97,드라이기
43,44,98,피트니스
44,45,98,레스토랑
45,46,98,와이파이
46,47,98,욕실용품
47,48,98,미니바
48,49,98,금연
49,50,98,라운지
50,51,98,주차장
51,52,98,TV
52,53,98,에어컨
53,54,98,객실샤워실
54,55,98,장애인편의시설
55,56,99,레스토랑
56,57,99,와이파이
57,58,99,욕실용품
58,59,99,엘레베이터
59,60,99,금연
60,61,99,카페
61,62,99,주차장
62,63,99,TV
63,64,99,에어컨
64,65,99,냉장고
65,66,99,객실샤워실
66,67,99,드라이기
67,68,100,피트니스
68,69,100,레스토랑
69,70,100,와이파이
70,71,100,욕실용품
71,72,100,엘레베이터
72,73,100,짐보관가능
73,74,100,금연
74,75,100,무료주차
75,76,100,라운지
76,77,100,세탁기
77,78,100,건조기
78,79,100,주차장
79,80,100,TV
80,81,100,에어컨
81,82,100,냉장고
82,83,100,객실샤워실
83,84,100,드라이기
84,85,100,카드결제
85,86,101,레스토랑
86,87,101,와이파이
87,88,101,욕실용품
88,89,101,반려견동반
89,90,101,금연
90,91,101,카페
91,92,101,TV
92,93,101,장애인편의시설
93,94,102,레스토랑
94,95,102,와이파이
95,96,102,욕실용품
96,97,102,미니바
97,98,102,발렛파킹
98,99,102,엘레베이터
99,100,102,금연
100,101,102,주차장
101,102,102,장애인편의시설
102,103,103,피트니스
103,104,103,레스토랑
104,105,103,와이파이
105,106,103,욕실용품
106,107,103,금연
107,108,103,주차장
108,109,103,TV
109,110,103,에어컨
110,111,103,냉장고
111,112,103,객실샤워실
112,113,103,드라이기
113,114,104,피트니스
114,115,104,수영장
115,116,104,사우나
116,117,104,레스토랑
117,118,104,와이파이
118,119,104,욕실용품
119,120,104,발렛파킹
120,121,104,엘레베이터
121,122,104,짐보관가능
122,123,104,금연
123,124,104,무료주차
124,125,104,라운지
125,126,104,주차장
126,127,104,TV
127,128,104,에어컨
128,129,104,냉장고
129,130,104,객실샤워실
130,131,104,드라이기
131,132,104,카드결제
132,133,105,피트니스
133,134,105,레스토랑
134,135,105,와이파이
135,136,105,욕실용품
136,137,105,미니바
137,138,105,엘레베이터
138,139,105,금연
139,140,105,카페
140,141,105,주방/식당
141,142,105,세탁기
142,143,105,건조기
143,144,105,주차장
144,145,105,취사가능
145,146,105,TV
146,147,105,에어컨
147,148,105,냉장고
148,149,105,객실샤워실
149,150,105,드라이기
150,151,105,장애인편의시설
151,152,106,피트니스
152,153,106,사우나
153,154,106,레스토랑
154,155,106,와이파이
155,156,106,욕실용품
156,157,106,발렛파킹
157,158,106,금연
158,159,106,라운지
159,160,106,주차장
160,161,106,TV
161,162,106,에어컨
162,163,106,냉장고
163,164,106,객실샤워실
164,165,106,드라이기
165,166,107,피트니스
166,167,107,수영장
167,168,107,사우나
168,169,107,골프장
169,170,107,레스토랑
170,171,107,와이파이
171,172,107,욕실용품
172,173,107,미니바
173,174,107,발렛파킹
174,175,107,금연
175,176,107,무료주차
176,177,107,라운지
177,178,107,TV
178,179,107,장애인편의시설
179,180,108,피트니스
180,181,108,와이파이
181,182,108,욕실용품
182,183,108,엘레베이터
183,184,108,프린터사용
184,185,108,금연
185,186,108,공용PC
186,187,108,카페
187,188,108,세탁기
188,189,108,건조기
189,190,108,주차장
190,191,108,TV
191,192,108,에어컨
192,193,108,냉장고
193,194,108,객실샤워실
194,195,108,드라이기
195,196,108,다리미
196,197,108,카드결제
197,198,109,피트니스
198,199,109,수영장
199,200,109,사우나
200,201,109,레스토랑
201,202,109,와이파이
202,203,109,욕실용품
203,204,109,미니바
204,205,109,엘레베이터
205,206,109,금연
206,207,109,카페
207,208,109,주차장
208,209,109,TV
209,210,109,에어컨
210,211,109,냉장고
211,212,109,욕조
212,213,109,카드결제
213,214,109,장애인편의시설
214,215,110,피트니스
215,216,110,수영장
216,217,110,레스토랑
217,218,110,와이파이
218,219,110,욕실용품
219,220,110,미니바
220,221,110,발렛파킹
221,222,110,엘레베이터
222,223,110,짐보관가능
223,224,110,금연
224,225,110,무료주차
225,226,110,카페
226,227,110,편의점
227,228,110,주차장
228,229,110,TV
229,230,110,에어컨
230,231,110,냉장고
231,232,110,객실샤워실
232,233,110,드라이기
233,234,110,다리미
234,235,110,장애인편의시설
235,236,111,피트니스
236,237,111,수영장
237,238,111,레스토랑
238,239,111,와이파이
239,240,111,욕실용품
240,241,111,미니바
241,242,111,발렛파킹
242,243,111,짐보관가능
243,244,111,금연
244,245,111,주차장
245,246,111,TV
246,247,111,에어컨
247,248,111,냉장고
248,249,111,객실샤워실
249,250,111,욕조
250,251,111,드라이기
251,252,111,다리미
252,253,112,피트니스
253,254,112,레스토랑
254,255,112,와이파이
255,256,112,욕실용품
256,257,112,미니바
257,258,112,조식포함
258,259,112,엘레베이터
259,260,112,금연
260,261,112,카페
261,262,112,주차장
262,263,112,TV
263,264,112,장애인편의시설
264,265,113,피트니스
265,266,113,레스토랑
266,267,113,와이파이
267,268,113,욕실용품
268,269,113,엘레베이터
269,270,113,짐보관가능
270,271,113,금연
271,272,113,세탁기
272,273,113,건조기
273,274,113,주차장
274,275,113,TV
275,276,113,에어컨
276,277,113,냉장고
277,278,113,객실샤워실
278,279,113,카드결제
279,280,114,사우나
280,281,114,레스토랑
281,282,114,와이파이
282,283,114,엘레베이터
283,284,114,짐보관가능
284,285,114,금연
285,286,114,세탁기
286,287,114,주차장
287,288,114,TV
288,289,114,에어컨
289,290,114,냉장고
290,291,114,객실샤워실
291,292,114,카드결제
292,293,114,장애인편의시설
293,294,115,피트니스
294,295,115,레스토랑
295,296,115,와이파이
296,297,115,욕실용품
297,298,115,엘레베이터
298,299,115,짐보관가능
299,300,115,금연
300,301,115,무료주차
301,302,115,카페
302,303,115,세탁기
303,304,115,건조기
304,305,115,주차장
305,306,115,TV
306,307,115,에어컨
307,308,115,냉장고
308,309,115,욕조
309,310,115,드라이기
310,311,115,카드결제
311,312,116,와이파이
312,313,116,반려견동반
313,314,116,객실내취사
314,315,116,금연
315,316,116,무료주차
316,317,116,TV
317,318,116,에어컨
318,319,116,냉장고
319,320,116,드라이기
320,321,117,피트니스
321,322,117,레스토랑
322,323,117,와이파이
323,324,117,욕실용품
324,325,117,미니바
325,326,117,금연
326,327,117,TV
327,328,117,객실샤워실
328,329,117,장애인편의시설
329,330,118,레스토랑
330,331,118,와이파이
331,332,118,욕실용품
332,333,118,금연
333,334,118,주차장
334,335,118,TV
335,336,118,객실샤워실
336,337,118,장애인편의시설
337,338,119,레스토랑
338,339,119,와이파이
339,340,119,욕실용품
340,341,119,금연
341,342,119,무료주차
342,343,119,세미나실
343,344,119,주차장
344,345,119,TV
345,346,119,에어컨
346,347,119,냉장고
347,348,119,객실샤워실
348,349,119,드라이기
349,350,120,피트니스
350,351,120,레스토랑
351,352,120,와이파이
352,353,120,욕실용품
353,354,120,미니바
354,355,120,금연
355,356,120,무료주차
356,357,120,라운지
357,358,120,TV
358,359,120,장애인편의시설
359,360,121,와이파이
360,361,121,욕실용품
361,362,121,객실내취사
362,363,121,금연
363,364,121,무료주차
364,365,121,카페
365,366,121,TV
366,367,121,객실샤워실
367,368,122,레스토랑
368,369,122,와이파이
369,370,122,욕실용품
370,371,122,금연
371,372,122,무료주차
372,373,122,라운지
373,374,122,세미나실
374,375,122,TV
375,376,122,에어컨
376,377,122,객실샤워실
377,378,122,장애인편의시설
378,379,123,피트니스
379,380,123,수영장
380,381,123,사우나
381,382,123,골프장
382,383,123,레스토랑
383,384,123,와이파이
384,385,123,욕실용품
385,386,123,객실내흡연
386,387,123,반려견동반
387,388,123,객실내취사
388,389,123,금연
389,390,123,무료주차
390,391,123,주차장
391,392,123,TV
